word,frequency
head,1
southeast,1
turn,810
left,544
onto,436
rúa,68
dos,2
tallos,1
right,560
da,22
estivada,2
keep,293
slight,149
costaneira,1
do,31
restollal,3
enter,13
the,27
roundabout,13
and,13
take,13
3rd,6
exit,13
travesa,3
de,170
alejandro,2
pérez,2
lugín,2
continue,68
straight,68
estrada,24
compañía,1
das,1
fillas,1
caridade,1
federica,3
montseny,3
praza,4
lamas,5
abade,5
2nd,2
presa,1
mouronzón,2
sharp,83
camiño,8
real,22
angrois,3
limpadoiro,2
pista,5
a,18
piñeiro,2
ao,1
eixo,1
arriba,3
redondelo,2
arredullo,1
ac,2
240,2
vista,1
alegre,1
n,17
525,16
po,3
205,1
ep,3
6005,1
ourense,7
santiago,10
534,1
902,4
6108,1
6102,1
avenida,26
médico,2
fernando,2
martínez,2
iglesias,2
1st,5
cotelas,4
límite,4
provincia,4
pontevedra,4
ou,18
0402,4
cea,4
pobadura,4
0406,4
saleta,1
san,10
lourenzo,1
forno,2
patricio,2
españa,3
cruz,11
parapeta,2
matadoiro,1
0456,1
02004,1
amoeiro,1
0526,1
costiña,1
canedo,1
0520,1
vigo,2
quintela,1
120,2
paseo,2
fluvial,1
miño,1
tinteiro,2
ribeiriño,1
eduardo,1
barreiros,1
curros,2
enríquez,2
celso,1
emilio,1
ferreiro,1
alfonso,1
rodríguez,1
castelao,1
doutor,2
temes,2
nova,1
bos,3
aires,3
cuco,3
verea,4
vella,3
montealegre,3
0105,1
cemiterio,2
castelo,1
toural,2
cardeal,1
quiroga,1
palacios,1
101,1
pedro,2
reconco,1
0108,1
pedroso,2
milagres,1
103,3
114,1
cabezo,1
marmoiral,1
venda,3
espiño,3
carracedo,1
cima,2
aldea,3
filgueira,1
maior,3
viana,1
533,9
beato,1
sebastián,3
aparicio,1
cachón,1
calella,1
regueiriña,1
o,1
portela,1
za,26
p,20
2669,1
925,1
921,1
carretera,9
intercomarcal,1
sanabria,10
carballeda,1
cañada,15
ganados,9
zamora,17
sanabresa,1
linarejos,1
robledo,6
2436,1
912,1
calle,184
santa,4
maría,2
peña,4
1405,7
las,14
eras,2
l,3
2454,1
plazuela,3
la,50
panera,1
cuesta,3
abajo,2
fuente,5
vega,1
molino,3
plaza,8
era,1
camino,20
flores,1
2437,2
puente,2
ribera,1
alante,1
iglesia,4
vereda,5
castro,2
encinas,1
travesía,6
sestil,1
del,39
monte,1
ignacio,1
sardá,1
los,10
llanos,2
antigua,1
hiniesta,1
doctor,1
fleming,1
martín,2
ildefonso,2
pizarro,2
salamanca,1
villaralbo,1
vistalegre,1
buchinas,1
v,2
2104,1
salud,1
2101,1
barrio,1
bajo,1
itacyl,3
2009,3
pozo,4
sanzoles,1
el,4
caño,3
610,2
vivales,1
611,1
toro,2
mesones,2
nueva,2
arenal,2
labradores,2
paz,3
605,1
castilla,3
y,1
león,1
río,2
guareña,1
manolita,2
quiñones,2
héroes,1
602,1
potargo,1
alejos,1
juan,1
carlos,1
i,1
2107,1
ancho,1
ronda,7
noroeste,1
sa,1
800,1
nuestra,1
señora,1
misericordia,1
mayor,5
horcajo,1
calzada,5
dsa,1
700,1
madrigal,3
palomas,1
rasueros,1
claudio,1
sánchez,1
albornoz,1
bernardo,1
av,11
129a,1
villa,1
fuentecilla,1
ángel,1
empedrada,2
larga,2
138,1
cabezas,2
escuelas,1
constitución,3
134,1
huertos,1
pueblo,1
constanzana,1
acacias,1
ana,1
ávila,1
pablo,1
portero,1
110,2
sur,1
benito,1
gutiérrez,1
papatrigo,1
montalvo,2
madrid,1
entrebarrios,2
berlanas,1
cerrillo,2
molinos,2
covachuelas,2
201,1
ermita,1
margatos,2
501,1
dueñas,1
grupo,1
escolar,1
garcía,2
huerto,1
prado,1
romano,2
peñón,1
catalina,1
cementerio,1
lavadero,1
308,1
m,13
538,1
reajos,2
535,1
alameda,1
505,2
verde,7
majadillas,2
serranos,2
vivero,1
cotanillo,1
cerro,1
poza,1
linar,1
vía,1
pecuaria,1
rey,1
quemadillo,3
pinar,1
higueruela,2
pendiente,1
palomita,1
somadilla,1
estación,2
colada,4
crucijada,2
villalba,3
leonesa,1
collado,1
fresno,1
510,1
nava,1
fraguas,1
tienda,1
arroyo,1
negrillo,2
chavela,1
encinarejo,1
dehesa,1
jacinto,1
benavente,1
barrancas,1
cristo,1
luna,2
móstoles,1
mancha,2
cuba,1
raya,5
palancar,2
hortensias,1
fuentes,1
halcón,1
cetrería,1
acceso,1
leizarán,1
bidasoa,1
duero,6
tajo,3
manzanares,2
arrive,1
at,1
on,1
